replicate,amount_gblock+ire,test1_Cp1,amount_gblockminusIREonlyexon,all_productsCp1,50_50gblocks,test1Cp150_50,allproductsCp1_50_50
A,100,17.74,100,18.73,200,16.46,17.9
B,100,17.7,100,18.94,200,16.42,18.03
C,100,17.72,100,18.88,200,16.32,17.93
A,10,21.4,10,22.39,20,19.95,21.46
B,10,21.57,10,22.43,20,20.01,21.51
C,10,21.28,10,22.35,20,19.85,21.6
A,1,24.86,1,25.44,2,23.46,24.68
B,1,24.85,1,25.52,2,23.51,24.66
C,1,24.7,1,25.53,2,23.42,24.79
A,0.1,28.08,0.1,28.34,0.2,26.61,27.62
B,0.1,28.09,0.1,28.44,0.2,26.65,27.54
C,0.1,28,0.1,28.32,0.2,26.53,27.62
A,0.01,30.98,0.01,31.18,0.02,29.6,30.14
B,0.01,30.95,0.01,31.18,0.02,29.61,30.18
C,0.01,30.97,0.01,31.13,0.02,29.44,30.13