Temperature,Treatment,tube_Identifier_ARQ_RNA,comments,test1Plate_Well,test1_Cp1,all_productsPrimersPlate_Well,all_productsPrimers_Cp1,product_difference,adjustment_value,test1_adjusted,dif_adjusted
Hot,No Hormone,Hot__NH_A_8006,,A1,29.75,A13,34.34,4.59,1.800980685,31.55098069,2.789019315
Hot,No Hormone,Hot__NH_B_8007,,C1,31.31,C13,35.59,4.28,1.691788838,33.00178884,2.588211162
Hot,No Hormone,Hot__NH_C_8008,,E1,30.96,E13,35.03,4.07,1.657883446,32.61788345,2.412116554
Hot,No Hormone,Hot_NH_E_8010,,G1,33.48,G13,37.25,3.77,1.529613299,35.0096133,2.240386701
Hot,Uniconizole,Hot_UCN_A_8016,,I1,29.59,I13,33.55,3.96,1.673304502,31.2633045,2.286695498
Hot,Uniconizole,Hot_UCN_B_8017,,K1,29.25,K13,33.86,4.61,1.820864264,31.07086426,2.789135736
Hot,Uniconizole,Hot_UCN_C_8018,,M1,30.87,M13,35.49,4.62,1.772914124,32.64291412,2.847085876
Hot,Uniconizole,Hot_UCN_D_8019,,O1,30.97,O13,34.62,3.65,1.566393718,32.53639372,2.083606282
Hot,Uniconizole,Hot_UCN_E_8020,,A2,31.72,A14,34.99,3.27,1.460614064,33.18061406,1.809385936
Hot,PAC,Hot_PAC_A_8026,only 10 microliters,C2,36.1,C14,40,3.9,1.496860981,37.59686098,2.403139019
Hot,PAC,Hot_PAC_C_8028,,E2,30.8,E14,34.64,3.84,1.612904132,32.41290413,2.227095868
Hot,PAC,Hot_PAC_E_8030,,G2,31.19,G14,35.01,3.82,1.598046058,32.78804606,2.221953942
Hot,PCZ,Hot_PCZ_A_8036,,I2,30.72,I14,34.46,3.74,1.593083194,32.31308319,2.146916806
Hot,PCZ,Hot_PCZ_B_8037,,K2,31.21,K14,35.25,4.04,1.644658126,32.85465813,2.395341874
Hot,PCZ,Hot_PCZ_C_8038,,M2,32.02,M14,35.9,3.88,1.589195641,33.60919564,2.290804359
Hot,PCZ,Hot__PCZ_D_8039,,O2,32.27,O14,35.86,3.59,1.519973619,33.78997362,2.070026381
Hot,PCZ,Hot__PCZ_E_8040,,A3,30.75,A15,34.99,4.24,1.699389273,32.44938927,2.540610727
Hot,Quilt,Hot_QUI_A_8046,,C3,31.84,C15,35.89,4.05,1.629776706,33.46977671,2.420223294
Hot,Quilt,Hot_QUI_B_8047,,E3,32.09,E15,35.75,3.66,1.539854461,33.62985446,2.120145539
Hot,Quilt,Hot_QUI_D_8049,,G3,29.8,G15,33.93,4.13,1.703877536,31.50387754,2.426122464
Hot,Quilt,Hot_QUI_E_8050,,I3,31.55,I15,34.9,3.35,1.483381796,33.0333818,1.866618204
Normal,No Hormone,Norm_NH_A_8056,,K3,34.54,K15,38.09,3.55,1.458310053,35.99831005,2.091689947
Normal,No Hormone,Norm_NH_B_8057,,M3,33,M15,36.89,3.89,1.566551511,34.56655151,2.323448489
Normal,No Hormone,Norm_NH_C_8058,,O3,31.24,O15,35.3,4.06,1.648055541,32.88805554,2.411944459
Normal,No Hormone,Norm_NH_D_8059,,A4,32.59,A16,36.83,4.24,1.648974129,34.23897413,2.591025871
Normal,No Hormone,Norm_NH_E_8060,only 10 microliters,C4,40,C16,40,0,#NUM!,#NUM!,#NUM!
Normal,Uniconizole,Norm_UCN_A_8066,,E4,32.56,E16,35.95,3.39,1.468209811,34.02820981,1.921790189
Normal,Uniconizole,Norm_UCN_B_8067,,G4,31.16,G16,34.78,3.62,1.554712081,32.71471208,2.065287919
Normal,Uniconizole,Norm_UCN_C_8068,,I4,31.31,I16,34.81,3.5,1.523795921,32.83379592,1.976204079
Normal,Uniconizole,Norm_UCN_D_8069,,K4,31.07,K16,34.37,3.3,1.483609192,32.55360919,1.816390808
Normal,Uniconizole,Norm_UCN_E_8070,,M4,31.65,M15,35.84,4.19,1.663925012,33.31392501,2.526074988
Normal,PAC,Norm_PAC_A_8076,,O4,33.88,O16,40,6.12,1.953188294,35.83318829,4.166811706
Normal,PAC,Norm_PAC_B_8077,,A5,31.17,A17,35.2,4.03,1.643637952,32.81363795,2.386362048
Normal,PAC,Norm_PAC_C_8078,,C5,34.35,C17,39.29,4.94,1.736794719,36.08679472,3.203205281
Normal,PAC,Norm_PAC_D_8079,,E5,32.07,E17,35.79,3.72,1.553468011,33.62346801,2.166531989
Normal,PAC,Norm_PAC_E_8080,,G5,32.41,G17,36.7,4.29,1.663801775,34.07380178,2.626198225
Normal,PCZ,Norm_PCZ_A_8086,,I5,31.61,I17,34.97,3.36,1.484220706,33.09422071,1.875779294
Normal,PCZ,Norm_PCZ_B_8087,,K5,32.35,K17,35.79,3.44,1.48452356,33.83452356,1.95547644
Normal,PCZ,Norm_PCZ_C_8088,,M4,31.65,M17,35.39,3.74,1.568548096,33.2185481,2.171451904
Normal,PCZ,Norm_PCZ_D_8089,,O5,32.4,O17,35.45,3.05,1.392566243,33.79256624,1.657433757
Normal,PCZ,Norm_PCZ_E_8090,,A6,31.37,A18,35.55,4.18,1.669537873,33.03953787,2.510462127
Normal,Quilt,Norm_QUI_A_9096,,C6,31.2,C18,35.4,4.2,1.678392088,32.87839209,2.521607912
Normal,Quilt,Norm_QUI_B_8097,,E6,30.8,E18,34.81,4.01,1.649589087,32.44958909,2.360410913
Normal,Quilt,Norm_QUI_C_8098,,G6,32.96,G18,40,7.04,2.128270185,35.08827019,4.911729815
Normal,Quilt,Norm_QUI_D_8099,,I6,31.83,I18,35.95,4.12,1.644605038,33.47460504,2.475394962
Normal,Quilt,Norm_QUI_E_8100,,K6,31.44,K18,35.13,3.69,1.56300137,33.00300137,2.12699863