Temperature,Treatment,tube_Identifier_ARQ_RNA,comments,test1Plate_Well,test1_Cp1,all_productsPrimersPlate_Well,all_productsPrimers_Cp1,product_difference
Hot,No Hormone,Hot__NH_A_8006,,A1,29.75,A13,34.34,4.59
Hot,No Hormone,Hot__NH_B_8007,,C1,31.31,C13,35.59,4.28
Hot,No Hormone,Hot__NH_C_8008,,E1,30.96,E13,35.03,4.07
Hot,No Hormone,Hot_NH_E_8010,,G1,33.48,G13,37.25,3.77
Hot,Uniconizole,Hot_UCN_A_8016,,I1,29.59,I13,33.55,3.96
Hot,Uniconizole,Hot_UCN_B_8017,,K1,29.25,K13,33.86,4.61
Hot,Uniconizole,Hot_UCN_C_8018,,M1,30.87,M13,35.49,4.62
Hot,Uniconizole,Hot_UCN_D_8019,,O1,30.97,O13,34.62,3.65
Hot,Uniconizole,Hot_UCN_E_8020,,A2,31.72,A14,34.99,3.27
Hot,PAC,Hot_PAC_A_8026,only 10 microliters,C2,36.1,C14,40,3.9
Hot,PAC,Hot_PAC_C_8028,,E2,30.8,E14,34.64,3.84
Hot,PAC,Hot_PAC_E_8030,,G2,31.19,G14,35.01,3.82
Hot,PCZ,Hot_PCZ_A_8036,,I2,30.72,I14,34.46,3.74
Hot,PCZ,Hot_PCZ_B_8037,,K2,31.21,K14,35.25,4.04
Hot,PCZ,Hot_PCZ_C_8038,,M2,32.02,M14,35.9,3.88
Hot,PCZ,Hot__PCZ_D_8039,,O2,32.27,O14,35.86,3.59
Hot,PCZ,Hot__PCZ_E_8040,,A3,30.75,A15,34.99,4.24
Hot,Quilt,Hot_QUI_A_8046,,C3,31.84,C15,35.89,4.05
Hot,Quilt,Hot_QUI_B_8047,,E3,32.09,E15,35.75,3.66
Hot,Quilt,Hot_QUI_D_8049,,G3,29.8,G15,33.93,4.13
Hot,Quilt,Hot_QUI_E_8050,,I3,31.55,I15,34.9,3.35
Normal,No Hormone,Norm_NH_A_8056,,K3,34.54,K15,38.09,3.55
Normal,No Hormone,Norm_NH_B_8057,,M3,33,M15,36.89,3.89
Normal,No Hormone,Norm_NH_C_8058,,O3,31.24,O15,35.3,4.06
Normal,No Hormone,Norm_NH_D_8059,,A4,32.59,A16,36.83,4.24
Normal,No Hormone,Norm_NH_E_8060,only 10 microliters,C4,40,C16,40,0
Normal,Uniconizole,Norm_UCN_A_8066,,E4,32.56,E16,35.95,3.39
Normal,Uniconizole,Norm_UCN_B_8067,,G4,31.16,G16,34.78,3.62
Normal,Uniconizole,Norm_UCN_C_8068,,I4,31.31,I16,34.81,3.5
Normal,Uniconizole,Norm_UCN_D_8069,,K4,31.07,K16,34.37,3.3
Normal,Uniconizole,Norm_UCN_E_8070,,M4,31.65,M15,35.84,4.19
Normal,PAC,Norm_PAC_A_8076,,O4,33.88,O16,40,6.12
Normal,PAC,Norm_PAC_B_8077,,A5,31.17,A17,35.2,4.03
Normal,PAC,Norm_PAC_C_8078,,C5,34.35,C17,39.29,4.94
Normal,PAC,Norm_PAC_D_8079,,E5,32.07,E17,35.79,3.72
Normal,PAC,Norm_PAC_E_8080,,G5,32.41,G17,36.7,4.29
Normal,PCZ,Norm_PCZ_A_8086,,I5,31.61,I17,34.97,3.36
Normal,PCZ,Norm_PCZ_B_8087,,K5,32.35,K17,35.79,3.44
Normal,PCZ,Norm_PCZ_C_8088,,M4,31.65,M17,35.39,3.74
Normal,PCZ,Norm_PCZ_D_8089,,O5,32.4,O17,35.45,3.05
Normal,PCZ,Norm_PCZ_E_8090,,A6,31.37,A18,35.55,4.18
Normal,Quilt,Norm_QUI_A_9096,,C6,31.2,C18,35.4,4.2
Normal,Quilt,Norm_QUI_B_8097,,E6,30.8,E18,34.81,4.01
Normal,Quilt,Norm_QUI_C_8098,,G6,32.96,G18,40,7.04
Normal,Quilt,Norm_QUI_D_8099,,I6,31.83,I18,35.95,4.12
Normal,Quilt,Norm_QUI_E_8100,,K6,31.44,K18,35.13,3.69